event_id,white_elo,black_elo,result,num_moves,white_castled,black_castled,white_castle_side,black_castle_side,num_captures,termination,moves_san
7037,2644,2591,1/2-1/2,30,True,True,kingside,kingside,9,draw,Nf3 d5 d4 Nf6 c4 c6 Nc3 dxc4 a4 Bf5 e3 e6 Bxc4 Bb4 O-O Nbd7 Qe2 Bg6 e4 O-O Bd3 Bh5 e5 Nd5 Nxd5 cxd5 Qe3 Re8 Ne1 Bg6 Be2 Nb8 Bd2 Qa5 Bc3 Rc8 Rc1 Bxc3 bxc3 Nd7 h4 h6 g4 Nb6 h5 Bh7 g5 hxg5 Qxg5 Nxa4 Kh2 Qd8 Qg3 Rc7 Rg1 Qf8 Bb5 Nb2 Ng2 Rac8 Nf4
7038,2453,2569,1/2-1/2,54,False,True,none,queenside,26,draw,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 Nc3 f6 d4 exd4 Nxd4 c5 Nde2 Qxd1+ Nxd1 Be6 Bf4 O-O-O Ne3 Ne7 Rd1 Rxd1+ Kxd1 g6 Kc1 Bg7 h4 h6 f3 f5 exf5 Nxf5 Nxf5 Bxf5 Ng3 Bd7 Re1 Re8 Rxe8+ Bxe8 Ne4 b6 Bd2 Bf7 Bc3 Bf8 a3 Kd7 Be5 b5 Kd2 b4 g4 a5 Ke3 Kc6 Nd2 Be7 Bg7 Bxh4 Bxh6 Bf6 axb4 a4 b5+ Kxb5 c3 a3 bxa3 Bxc3 Bf4 c6 Ne4 Bd4+ Kd2 Bd5 Be3 Bb2 Nd6+ Ka4 Bxc5 Bxf3 g5 Bd5 Nc8 Kb5 Bf8 Bd4 Kd3 c5 a4+ Kb4 Ne7 Bc4+ Ke4 Kc3 Nxg6 Bd3+ Kd5 Bxg6 Bxc5 Bf7+ Kd6 Kc4 Bxd4 Kb4 Bc3+
7039,2393,2561,0-1,38,True,True,kingside,kingside,16,resignation,d4 d5 c4 c6 Nc3 e6 e4 Bb4 Bd2 dxc4 Bxc4 Qxd4 Qe2 Qd8 Nf3 Nd7 O-O Ne7 a3 Ba5 Rad1 Ng6 e5 Bxc3 Bxc3 Qc7 Ng5 Nb6 Ba2 Nd5 Rfe1 O-O Bxd5 cxd5 Bb4 Re8 Bd6 Qd8 Qh5 h6 Nf3 Bd7 Rd4 Rc8 g4 Rc4 Rxc4 dxc4 g5 Bc6 gxh6 gxh6 Re3 Kg7 Nd4 Bd5 Rh3 Qg5+ Qxg5 hxg5 Nb5 Nf4 Re3 a6 Nc7 Rc8 Kf1 Kg6 Rg3 Kf5 f3 Ng6 Nxd5 exd5 Be7 Nxe7
7040,2178,2471,0-1,48,True,True,kingside,kingside,16,resignation,e4 c5 Nf3 Nc6 Nc3 e6 d4 cxd4 Nxd4 Qc7 Be3 a6 Bd3 Nf6 O-O Bd6 Nxc6 dxc6 f4 e5 f5 h5 Kh1 Qe7 Bg5 Bc5 a4 b6 Nb1 Bb7 Qe2 h4 Nd2 h3 g3 b5 Nb3 Bb6 c4 Qb4 Ra3 bxc4 Bxc4 Rd8 a5 Ba7 Bd2 Qd6 Bg5 c5 Nd2 Qc7 Kg1 Rd4 Be3 Rd6 Bd3 O-O Nc4 Rxd3 Rxd3 Bxe4 Rd2 Ba8 Rd6 Qb7 Rxf6 Qh1+ Kf2 Qxh2+ Ke1 Qxe2+ Kxe2 gxf6 Bg1 Rd8 b3 Be4 Rf2 Bc2 Rh2 Bxf5 Nb6 Bg4+ Ke3 Rb8 b4 cxb4 Kd3 Be6 Bc5 Rd8+ Ke3 b3 Be7 Rd5
7041,1934,2236,0-1,48,True,True,kingside,kingside,23,resignation,e4 Nc6 Nc3 e6 d4 d5 Nf3 Nf6 e5 Ne4 a3 Nxc3 bxc3 f6 Bd3 Qe7 O-O Qf7 Rb1 Be7 Qe2 O-O a4 fxe5 dxe5 Qh5 Re1 Na5 Nd4 Qxe2 Bxe2 Bc5 Be3 Bxd4 cxd4 b6 Bd2 Nc6 c3 a6 Bg4 Bd7 Re3 Na5 Rg3 Kh8 h4 h6 Bc1 Nc4 Ra1 c5 Rf3 Rxf3 Bxf3 cxd4 cxd4 Rc8 Kf1 Kg8 g4 Na5 Be3 Rc3 Be2 Nc4 Bxc4 dxc4 Ke2 Rb3 Kd2 a5 g5 hxg5 hxg5 g6 Kc1 Kf7 Rb1 Rb4 d5 exd5 Bxb6 Rxa4 Bd8 c3 Rb7 Ke8 e6 Bxe6 Re7+ Kxd8 Rxe6 d4 Rxg6 Kd7
7042,2487,2480,1/2-1/2,11,True,True,kingside,kingside,0,draw,Nf3 Nf6 c4 g6 Nc3 Bg7 d4 O-O e4 d6 Be2 e5 O-O Nc6 d5 Ne7 Ne1 Nd7 Be3 f5 f3 f4 Bf2
7043,2249,2248,1/2-1/2,44,True,True,kingside,kingside,20,draw,e4 e6 d4 d5 Nc3 Nf6 Bg5 Bb4 e5 h6 Bc1 Ne4 Qg4 g6 Ne2 c5 a3 Bxc3+ Nxc3 Nxc3 bxc3 Qa5 Bd2 Qa4 c4 Nc6 dxc5 Qxc2 Be2 Nxe5 Qd4 Qe4 Bc3 f6 cxd5 exd5 f4 Nc6 Qd2 Bg4 O-O Bxe2 Rfe1 O-O Rxe2 Qc4 Rc1 Rae8 Rxe8 Rxe8 Bxf6 Re2 Rxc4 Rxd2 Rc1 d4 Rb1 Kf7 Be5 d3 Rxb7+ Ke6 Rg7 Nxe5 fxe5 Rc2 c6 Kxe5 Rd7 Ke4 c7 Ke3 Re7+ Kd2 Rd7 Rc6 Kf2 Rf6+ Kg3 Rc6 Kf2 a5 a4 Kc2 Ke3 Rc3 h3 h5
7044,1934,2061,1/2-1/2,37,True,True,kingside,kingside,19,draw,Nf3 Nf6 d4 d5 c4 c6 e3 e6 Nc3 Nbd7 a3 Be7 Bd3 O-O O-O b6 Re1 Bb7 e4 dxe4 Nxe4 c5 Qc2 cxd4 Nxd4 Rc8 Nb5 Bxe4 Bxe4 Nxe4 Rxe4 a6 Nc3 Nc5 Re1 Qd3 Qxd3 Nxd3 Re4 Nc5 Rg4 f5 Rg3 Bd6 Re3 Nb3 Rb1 Nxc1 Rxe6 Bf4 Nd5 Bg5 h4 Rxc4 hxg5 Nd3 Rxb6 Rc2 Rf1 Rxb2 Rxa6 Ne5 Ra7 Nc4 Ne7+ Kf7 Nxf5+ Kg6 Nh4+ Kxg5 Nf3+ Kh6 a4 Rc8 Re7
7045,2241,2029,0-1,52,True,False,queenside,none,21,resignation,e4 c5 Nc3 g6 f4 Bg7 Nf3 e6 d4 cxd4 Nxd4 a6 Be3 Ne7 h4 d5 e5 h5 g4 Nbc6 gxh5 Nxd4 Bxd4 Rxh5 Qg4 Nf5 Bf2 Qa5 O-O-O b5 Kb1 Bb7 Rh3 b4 Ne2 Bc6 Be1 Qb6 Nd4 Nxd4 Bf2 Bb5 Bxd4 Qc6 Bg2 Rc8 Rd2 Bh6 Qd1 Bxf4 Bf3 Bxd2 Bxh5 Qc4 Rd3 Qxd3 cxd3 Bxd3+ Ka1 Rc1+ Qxc1 Bxc1 Bd1 Kd7 Bc5 Bf4 Bd4 Ke8 a3 b3 Bxb3 Bg3 Ba4+ Kf8 b4 Bxh4 Bc6 Be1 Kb2 g5 Bc5+ Kg7 a4 g4 b5 axb5 axb5 g3 b6 Bf2 b7 Bxc5 b8=Q g2 Qd8 g1=Q Qf6+ Kg8 Qd8+ Bf8 Be8 Qd4+ Kb3 Qg4
7046,2232,2639,0-1,63,True,True,kingside,kingside,28,resignation,e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 Nc6 Nf3 Be6 Bg5 Ne4 cxd5 Bxd5 Nxd5 Qxd5 Be3 e6 a3 Rd8 Be2 Be7 O-O Bf6 Qa4 O-O Rfd1 Nd6 Rac1 Nf5 Bc4 Qa5 Qb3 Nd6 Be2 Ne7 Bf4 Nd5 Rc5 Qb6 Qxb6 axb6 Bxd6 bxc5 Bxf8 Kxf8 dxc5 Bxb2 Rb1 Bxa3 Rxb7 Bxc5 Ng5 Be7 h4 h6 Nf3 Nc3 Bc4 Ne4 g3 Bc5 Ne5 Bxf2+ Kg2 Nd6 Nxf7 Nxb7 Nxd8 Nxd8 Kxf2 Ke7 Kf3 Kf6 Bb5 Nf7 Ke3 Ke5 Ba4 Nd6 Bd7 Ne4 Kf3 Nf6 Bc8 Kd5 Kf4 g6 Ba6 Kd4 Bb7 e5+ Kf3 e4+ Ke2 Nh5 Kf2 Nf6 Ke2 g5 hxg5 hxg5 Bc8 Nh5 Kf2 Kd3 Ba6+ Kd2 Bb5 Nf6 Be2 e3+ Kf1 Ne4 Bf3 Nxg3+ Kg2 e2 Bxe2 Nxe2 Kf3 Nd4+ Kg4 Ne6
7047,2507,2577,1-0,25,True,True,kingside,kingside,10,resignation,d4 d5 c4 e6 Nc3 Be7 cxd5 exd5 Bf4 c6 Qc2 Bd6 Bxd6 Qxd6 e3 Ne7 Bd3 g6 f3 b6 Nge2 Ba6 O-O Bxd3 Qxd3 Nd7 e4 O-O e5 Qb4 a3 Qc4 Qd2 c5 Rac1 cxd4 Ne4 Qa4 Nf6+ Nxf6 exf6 Nf5 g4 Ne3 Rfe1 d3 b3 Qa5 Qxe3 d2 b4
7048,2609,2183,1-0,28,True,True,kingside,kingside,9,resignation,e4 d6 d4 Nf6 Nc3 g6 Be3 Bg7 Qd2 c6 h3 b5 Bd3 Nbd7 Nf3 O-O O-O a6 Ne2 c5 c3 Bb7 Ng3 cxd4 cxd4 d5 e5 Ne4 Bxe4 dxe4 Ng5 Nb6 b3 Qd5 Rac1 f5 Ne2 Qd7 e6 Qe8 Rc7 Rb8 Nf4 h6 Nf7 g5 d5 Na8 d6 gxf4 Rxe7 fxe3 Qxe3 Qc6 Nxh6+ Kh8 Qg5
7049,2423,2539,1-0,39,True,True,kingside,kingside,14,resignation,e4 e6 d3 d5 Qe2 c5 Nf3 Nc6 g3 Nf6 Bg2 Be7 O-O O-O e5 Nd7 c4 dxc4 dxc4 Nd4 Nxd4 cxd4 Nd2 d3 Qxd3 Nxe5 Qe2 Nd3 Ne4 Nxc1 Raxc1 Bd7 Rfd1 Qc7 c5 Bc6 Nd6 Rfd8 Bxc6 Qxc6 b4 a6 a3 Rd7 Nc4 Rad8 Rxd7 Qxd7 Ne5 Qc7 Nc4 g6 Rd1 Qc6 Qd3 Qb5 Qd4 Qa4 h4 h5 Qd3 Qb5 Qe4 Qd7 Kg2 Bf6 Na5 Qd2 Nxb7 Bd4 Qf3 e5 Nd6 Qa2 c6 Bb6 Nc8 f5 Nxb6
7050,2082,2237,1/2-1/2,17,True,True,queenside,kingside,9,draw,e4 c5 Nf3 d6 d4 cxd4 Qxd4 Nc6 Bb5 Bd7 Bxc6 Bxc6 Nc3 Nf6 Bg5 e6 O-O-O Be7 Rhe1 O-O Qd2 Qc7 Nd4 Rfd8 f4 h6 Bxf6 Bxf6 g4 Bxd4 Qxd4 e5 Qe3 exf4
7051,2666,2687,1/2-1/2,17,True,False,kingside,none,6,draw,e4 c6 d4 d5 e5 Bf5 h4 h5 Bd3 Bxd3 Qxd3 e6 Bg5 Be7 Nf3 Nh6 Nc3 Nf5 Ne2 g6 Ng3 Nd7 Nxf5 gxf5 c3 Nf8 g3 Ng6 b4 Bxg5 Nxg5 Qe7 O-O Kf8 a4
7052,2044,2086,1-0,23,True,True,kingside,kingside,12,resignation,d4 d5 c4 dxc4 Nf3 c6 e3 Be6 Nbd2 b5 a4 Nd7 g3 Ngf6 Bg2 h6 O-O g6 axb5 cxb5 Ne5 Bd5 Bxd5 Nxd5 Qf3 Nxe5 dxe5 Bg7 Rd1 Nb4 Nxc4 Qb8 Nb6 O-O Nxa8 Qxa8 Qxa8 Rxa8 Ra5 a6 f4 e6 Bd2 Nc6 Raa1 Bf8
7053,1619,1799,1/2-1/2,30,True,False,queenside,none,18,draw,e4 d5 exd5 Qxd5 Nc3 Qd8 Nf3 c5 d4 cxd4 Qxd4 Qxd4 Nxd4 a6 Nd5 Kd8 Nb6 Ra7 Nxc8 Kxc8 Be3 Ra8 O-O-O e6 Nb3 Nd7 g4 Ngf6 f3 Nd5 Bd2 Bc5 Nxc5 Nxc5 Bg2 Rd8 f4 b5 Bc3 f6 f5 Rb8 Bd4 Nb7 fxe6 Nf4 Bxb7+ Rxb7 Rhe1 Re7 Bc5 Rxd1+ Kxd1 Rxe6 Bf8 Rxe1+ Kxe1 Ne6 Bb4 Kd7
7054,1785,2143,0-1,72,True,True,kingside,kingside,27,checkmate,e4 c5 c3 d5 exd5 Qxd5 d4 Nf6 Nf3 Nc6 Be3 Bg4 Be2 cxd4 cxd4 e6 Nc3 Qa5 Qa4 Qxa4 Nxa4 Rd8 O-O Be7 Bb5 Bxf3 gxf3 O-O Bxc6 bxc6 Rac1 Rc8 Rc2 Nd5 a3 Bf6 Rfc1 Ne7 f4 Rfd8 Rc4 g6 Nc3 Bg7 Ra4 Rd7 Ne2 h5 Kg2 Rb8 Rc2 Rb3 Nc1 Rb5 Ne2 Nf5 Rac4 Rb3 R4c3 Rdb7 Rxb3 Rxb3 Nc1 Rxe3 Rxc6 Re1 Nd3 Rd1 Ne5 Bxe5 dxe5 a5 Ra6 Rd5 Rb6 Nd4 b4 axb4 axb4 Rb5 Rxb5 Nxb5 Kg3 Kf8 Kh4 Ke7 Kg5 Nc3 Kh6 Kf8 Kh7 Nb5 Kh8 f6 Kh7 Kf7 Kh6 Nd4 Kh7 fxe5 fxe5 Nc6 b5 Nxe5 b6 Nd7 b7 e5 Kh6 Kf6 Kh7 e4 Kh6 h4 h3 g5 Kh5 Kf5 Kh6 g4 hxg4+ Kxg4 Kg6 h3 Kf7 h2 Ke7 h1=Q Kxd7 Qh2 Kc8 Kf3 Kd8 Kxf2 Kc8 e3 Kd8 e2 Kc8 e1=R Kd8 Qd6+ Kc8 Re8#
7055,2194,2444,0-1,56,False,True,none,kingside,26,resignation,d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Be3 c5 Qd2 Qa5 Rc1 cxd4 cxd4 Qxd2+ Kxd2 O-O Bb5 Nc6 Bxc6 bxc6 Nf3 Rb8 Ne5 Rb2+ Kc3 Rb6 Nd3 f5 f3 fxe4 fxe4 Ra6 a4 e5 Nc5 Rb6 Rb1 Rd8 Rbd1 Bg4 Rd2 a5 d5 cxd5 exd5 e4+ Bd4 Bh6 Nxe4 Bxd2+ Nxd2 Rc8+ Kd3 Bf5+ Ke3 Rb4 Nf3 Re8+ Kf2 Rd8 Bc3 Rxa4 Rd1 Be4 d6 Bxf3 gxf3 Rd7 Rd5 Ra2+ Ke3 a4 h4 Kf7 Kd4 Rc2 Bb4 Rh2 Kc5 Rxh4 Kc6 Ke6 Rd3 Rc4+ Bc5 Rd8 Re3+ Kf6 Re7 Rxd6+ Kxd6 Rxc5 Rxh7 Ra5 Rh2 a3 Ra2 Kf5 Kc6 Kf4 Kb6 Ra8 Kb5 g5 Kb4 Kxf3
7056,2414,2390,1-0,36,True,True,kingside,kingside,14,resignation,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 d6 c3 O-O d4 Bg4 Be3 d5 dxe5 Nxe5 exd5 Nc4 Bg5 Re8 Bxc4 bxc4 h3 Bxf3 Qxf3 Rb8 Nd2 Rxb2 Nxc4 Rb5 Ne3 h6 c4 Ra5 Bf4 Bb4 Red1 Ra3 Rab1 a5 Rb2 Ne4 Bg3 Bc5 Re1 Qg5 h4 Qg6 h5 Qg5 Bf4 Qf6 Rbe2 Nc3 Rc2 Bb6 c5 Bxc5 Bxc7 Qxf3 gxf3 Bxe3 d6 Nd5 d7 Rf8 Bd6
7057,2064,1836,1-0,60,True,True,kingside,kingside,18,resignation,d4 Nf6 c4 e6 Nc3 Bb4 f3 d5 a3 Bxc3+ bxc3 b6 cxd5 exd5 e3 O-O Bd3 Re8 Ne2 Ba6 Bb1 Qd7 O-O Nc6 Re1 Rad8 Ng3 Qc8 Bf5 Qb7 Bc2 Qc8 Ba4 Re6 Qd2 Na5 Qf2 c5 Bb2 Nc4 Bb3 Rde8 Bxc4 Bxc4 Qd2 Qc6 Kf2 Qc7 Kg1 h5 Nh1 Kh7 Nf2 Qe7 Bc1 Kg8 Qc2 cxd4 cxd4 Qd7 e4 dxe4 Qxc4 exf3 Rxe6 Rxe6 gxf3 Re1+ Kg2 Nd5 Ra2 Qe6 Qc2 f5 Bg5 Qg6 Qc8+ Kh7 h4 Nf4+ Kh2 Ne6 Qc3 Nxg5 hxg5 Qe6 Qd2 h4 Nh3 Re3 Nf4 Qb3 g6+ Kg8 Rc2 Re8 Rc3 Qb5 Rc1 Qb3 Qc3 Qa2+ Rc2 Qb1 Qc4+ Kh8 Rg2 Qe1 Qf7 Qe3 Nh5 Rg8 Qxf5 Qxd4 Nf4 Rd8 Qh5+ Kg8 Qh7+ Kf8 Ne6+
7058,2090,1969,1/2-1/2,82,True,True,kingside,kingside,27,draw,Nf3 d6 c4 c5 g3 Nc6 Bg2 g6 d4 cxd4 Nxd4 Bd7 b3 Bg7 Bb2 Nf6 O-O O-O Nc3 Rc8 Qd2 a6 Rfd1 Qb6 Rac1 Nxd4 Qxd4 Qxd4 Rxd4 Bc6 Rd2 Bxg2 Kxg2 Rc6 Rcd1 Rb8 Rc1 Rbc8 Rcd1 Rb8 Rc1 b5 Nd5 Nxd5 cxd5 Rxc1 Bxc1 Rc8 Bb2 Bxb2 Rxb2 Kg7 Kf3 f5 Ke3 Kf6 Kd4 Rc1 Rd2 g5 f4 b4 Ke3 gxf4+ gxf4 Rh1 Kd3 Rxh2 Kc4 a5 Kb5 Rf2 Kxa5 Rxf4 a4 h5 Kb6 h4 a5 h3 e3 Rh4 Rh2 Kg5 a6 Kg4 a7 Rh8 Kb7 Kg3 Rh1 h2 Rc1 Kg2 Rc2+ Kg3 Rc1 Kf3 a8=Q Rxa8 Kxa8 Kg2 Kb7 h1=Q Rxh1 Kxh1 Kc7 Kg2 Kd7 Kf3 Kxe7 Kxe3 Kxd6 f4 Kc6 f3 d6 f2 d7 f1=Q d8=Q Qf4 Qd5 Qf8 Kb5 Qb8+ Ka4 Qa7+ Kxb4 Qb6+ Ka3 Qa7+ Kb2 Qg7+ Kc2 Qc7+ Kd1 Qa7 Qd2+ Ke4 Qe2+ Kf4 Kc2 Qa1 Qc4+ Kf5 Qf7+ Ke4 Qe6+ Kf4 b4 Qa4+ Qb3 Qb5 Qf7+ Ke4 Qe6+ Kd4 Qg4+ Ke3 Qg1+ Ke4 Qg4+ Ke3
7059,2252,2215,1/2-1/2,92,True,True,kingside,kingside,29,draw,d4 Nf6 Bg5 Ne4 Bf4 d5 Nd2 Nxd2 Qxd2 e6 e3 Bd6 Nf3 O-O Bd3 c5 c3 Nc6 dxc5 Bxc5 Qc2 h6 O-O Bd6 Bxd6 Qxd6 Rad1 Qc7 e4 dxe4 Bxe4 Bd7 Qd2 Rfd8 Bb1 Be8 Qc2 g6 Rfe1 Rxd1 Qxd1 Rd8 Qc1 Kg7 a3 Qe7 h3 Qf6 Qe3 b6 h4 h5 Ng5 Ne7 Nf3 Nd5 Qe5 Qxe5 Nxe5 Kf6 g3 Ne7 f4 Bb5 Nf3 Nc6 Be4 Na5 Nd4 Bc4 Kf2 Nb3 Nxb3 Bxb3 Ke3 e5 Rf1 Rd1 Rxd1 Bxd1 Bd5 exf4+ Kxf4 Bc2 b4 Ke7 Ke5 f6+ Kd4 Kd6 c4 Bd1 Be4 g5 Bd5 Bg4 Bb7 Kc7 Be4 Kd6 Bg6 Bd1 Bf5 Be2 c5+ bxc5+ bxc5+ Kc6 Be4+ Kc7 Kd5 Bg4 Kd4 Kd7 Bg2 Bd1 Bh1 Kc7 Ke4 Bc2+ Kd5 Bb3+ Kd4 Bd1 Be4 Kd7 Bg6 Kc7 Be8 Kd8 Bb5 Bf3 Kc3 Kc7 Kb4 Bd1 Bd3 Bf3 Ka5 Bg4 Kb5 gxh4 gxh4 f5 Kc4 f4 Kd4 f3 Ke3 Kc6 Be4+ Kxc5 Bxf3 Bxf3 Kxf3 a5 Kf4 Kd5 Kg5 Ke5 a4 Ke6 Kxh5 Kf5 Kh6 Kf6 h5 Kf7 Kg5 Kg7 Kf5 Kh6 Ke5 Kxh5 Kd5 Kg6 Kc5 Kf6 Kb5 Ke6 Kxa5 Kd7 Kb6 Kc8 a5
7060,1716,1821,1-0,42,True,True,kingside,kingside,17,resignation,d4 e6 Nf3 b6 g3 Bb7 Bg2 f5 O-O Nf6 c4 Bd6 Nc3 Na6 a3 O-O b4 Be7 d5 Bd6 Nb5 Qe7 Nxd6 cxd6 Nd4 Rac8 Qd3 Ng4 f4 Rb8 Nb5 e5 Nxa7 Qf6 Qc3 Rbe8 h3 Nh6 e3 g5 fxg5 Qxg5 e4 f4 gxf4 exf4 Bb2 Re5 Qf3 Ree8 Bc1 Qe5 Bxf4 Qd4+ Be3 Qxa1 Qxf8+ Rxf8 Rxa1 Nf7 Bxb6 Ne5 c5 dxc5 bxc5 Rf6 Rc1 Rg6 Kh2 Nd3 Rc2 Ne1 Rd2 Kg7 Nb5 Kf6 Nc7 Ke5 Nxa6 Bxa6 Bc7+ Kf6 Rf2+ Ke7 Bd6+
7061,2693,2717,1/2-1/2,33,True,True,kingside,kingside,18,draw,e4 c5 Nf3 d6 Bb5+ Nd7 d4 cxd4 Qxd4 a6 Bxd7+ Bxd7 c4 e5 Qd3 b5 Nc3 Rb8 O-O h6 c5 Be6 Nd5 Ne7 cxd6 Nxd5 exd5 Qxd6 Re1 Qxd5 Qxd5 Bxd5 Bf4 Be7 Bxe5 Rb7 Nd4 O-O Nf5 f6 Bc3 Rf7 a3 Rd7 Nxe7+ Rfxe7 Rxe7 Rxe7 Re1 Kf7 Rxe7+ Kxe7 f3 h5 Kf2 Ke6 g3 g5 Ke3 Bb7 Ba5 Ba8 Bc3 Bb7 Ba5 Ba8 Bc3
7062,2590,2656,1/2-1/2,8,False,True,none,kingside,4,draw,d4 Nf6 Nf3 e6 c4 Bb4+ Bd2 Bxd2+ Qxd2 d5 e3 O-O Nc3 Qe7 cxd5 exd5 Bd3
7063,2293,2205,1/2-1/2,33,True,True,kingside,kingside,17,draw,d4 f5 Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O b3 d6 Bb2 Ng4 Nbd2 Nd7 e4 f4 Qe2 e5 h3 Nh6 Nc4 fxg3 fxg3 exd4 Rad1 Nf7 Bxd4 Bxd4+ Rxd4 Qe7 Kh2 Nb6 e5 Nxc4 Qxc4 dxe5 Nxe5 Qxe5 Rxf7 Rxf7 Bd5 Qf5 Bxf7+ Kg7 Qc3 Qf2+ Kh1 Qf1+ Kh2 Qf2+ Kh1 Qf1+ Kh2 Qxh3+ Kg1 Kxf7 Qxc7+ Kf6 Qd8+ Kf7 Qc7+ Kf6 Qd8+ Kf7 Qc7+
7064,1930,2058,1-0,31,True,True,kingside,kingside,12,resignation,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 d6 c3 O-O d4 Bg4 d5 Nb8 a4 Nbd7 axb5 axb5 Rxa8 Qxa8 Na3 Rb8 Bc2 b4 Nb1 Nc5 Nbd2 bxc3 bxc3 Nfd7 Nf1 Qa5 Bd2 Rb2 Ne3 Bxf3 Qxf3 Qa2 Rc1 Bg5 Qd1 Bxe3 Bxe3 Qc4 Qg4 Qa6 Qd1 h6 Ra1 Qc4 Ra8+ Kh7 Qf3 f6 Bxc5 Nxc5 Qf5+
7065,2292,2533,0-1,29,True,True,kingside,queenside,17,resignation,d4 Nf6 c4 e6 Nf3 d5 Nc3 dxc4 e3 a6 Bxc4 c5 O-O b5 Bb3 Bb7 Re1 Nbd7 e4 cxd4 Nxd4 Nc5 e5 Nxb3 axb3 Nd5 Ne4 Qb6 Qg4 O-O-O Bg5 Rd7 Nd6+ Bxd6 exd6 h5 Rec1+ Kb8 Qe4 Qxd6 Nxb5 axb5 Qd4 Rc7 Rxc7 Qxc7 Qxg7 Re8 Qh7 f6 Qxh5 Rg8 Bd2 Rxg2+ Kf1 Rxh2 Qe8+ Qc8
7066,1897,2015,1/2-1/2,47,True,True,kingside,kingside,20,draw,d4 Nf6 Nf3 g6 g3 Bg7 Bg2 O-O O-O d6 c4 Nc6 Nc3 e5 Bg5 h6 Bxf6 Qxf6 Nd5 Qd8 dxe5 dxe5 e3 Bg4 Qd2 Qd7 Nc3 Rad8 Qxd7 Rxd7 h3 Be6 Rfd1 Rfd8 Rxd7 Rxd7 Bf1 f5 Rd1 Rxd1 Nxd1 Na5 Nd2 e4 a3 b6 Be2 Nc6 f4 Kf8 Kf2 Ke7 g4 Bf6 Kg3 a5 h4 a4 Nc3 Bxc3 bxc3 Na5 gxf5 gxf5 Bd1 Bd7 Kf2 Kd6 Bc2 Kc5 Ke2 Nxc4 Nxc4 Kxc4 Kd2 b5 Bd1 c5 Kc2 b4 Be2+ Kd5 cxb4 cxb4 axb4 Kc6 Bc4 Kb6 Kc3 Kc6 Kd4 Kd6 Kc3 Be8 Kd4
7067,2282,2725,0-1,34,True,True,kingside,kingside,15,resignation,Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 g3 e5 Nb5 Bb4+ N1c3 d6 Bg2 a6 Na3 Bxc3+ bxc3 O-O O-O Qc7 Nc2 Be6 Ne3 e4 Ba3 Rfd8 Qc2 Ne5 Bxe4 Nxe4 Qxe4 Nxc4 Nxc4 Bxc4 Rfd1 d5 Qc2 Re8 e3 Re6 Rd2 Rae8 Rad1 Rb6 Qf5 Rf6 Qc2 Qc8 Rd4 Rh6 e4 Rhe6 f3 h6 Bc1 dxe4 fxe4 Qc6 Bf4 Rxe4 Rxe4 Rxe4 Rd8+ Re8 Qd2 Qc5+
7068,2200,2037,0-1,51,False,True,none,kingside,21,resignation,d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Bg5 Ne4 Bf4 Nxc3 bxc3 dxc4 Qa4+ c6 Qxc4 O-O e3 Qa5 Qb4 Qxb4 cxb4 Nd7 Rc1 Nb6 a3 Bf5 Be2 Rfc8 Kd2 a5 b5 cxb5 Bxb5 Be4 Rhd1 Bf8 Rxc8 Rxc8 Rc1 Rxc1 Kxc1 e5 Bxe5 Bxa3+ Kd1 Nd5 Bc4 b5 Bxd5 Bxd5 Nd2 Bxg2 e4 Kf8 d5 Ke7 Bc7 a4 f3 Bd6 Bxd6+ Kxd6 Kc2 Bh3 Kb2 Bd7 Nf1 f5 Kc3 Kc5 Ne3 b4+ Kb2 f4 Nc2 Bb5 h4 Be2 d6 Bb5 Kc1 Bd7 Kb2 Be6 Kc1 h6 Kb2 g5 hxg5 a3+ Kc1 hxg5 Kb1 Bd7 Ka2 Kc4 Kb1 Kc3 e5 Bf5
7069,2568,2571,1/2-1/2,10,False,False,none,none,6,draw,c4 e6 d4 Nf6 Nc3 d5 cxd5 exd5 Bg5 c6 e3 Bf5 Qf3 Bg6 Bxf6 Qxf6 Qxf6 gxf6 Nf3 Nd7
7070,1876,2118,0-1,21,True,True,queenside,kingside,11,resignation,e4 e6 d4 d5 Nc3 Nf6 e5 Nfd7 f4 c5 Nf3 Nc6 Be3 cxd4 Nxd4 Bc5 Qd2 O-O O-O-O a6 Be2 Nxd4 Bxd4 b5 Bxc5 Nxc5 Bf3 Qb6 f5 Kh8 f6 Rg8 h4 b4 Ne2 Nd7 Qd4 Qxd4 Rxd4 a5 Rxd5 exd5 Bxd5
