event_id,white_elo,black_elo,result,num_moves,white_castled,black_castled,white_castle_side,black_castle_side,num_captures,termination,eco_code,opening_name,eco_family,total_half_moves,white_acl,black_acl,white_blunders,black_blunders,white_mistakes,black_mistakes,final_eval,max_white_advantage,max_black_advantage,game_sharpness,elo_gap,avg_elo,elo_bucket_white,elo_bucket_black,acl_gap,winner_binary,winner_multiclass,source,has_stockfish
11532,2016,1786,1/2-1/2,34,1.0,1.0,kingside,queenside,16.0,draw,D10,Slav Defense,D,68,49.29,78.26,2.0,4.0,3.0,2.0,218.0,738.0,-256.0,146.26,230,1901.0,Expert,Advanced,-28.97,,1,kaggle_pgn,True
11533,2241,2199,0-1,45,1.0,1.0,kingside,kingside,22.0,resignation,E70,King's Indian Defense: Normal Variation,E,90,42.31,21.26,4.0,1.0,3.0,0.0,-857.0,97.0,-863.0,248.72,42,2220.0,Expert,Expert,21.05,0.0,0,kaggle_pgn,True
11534,2438,2212,1-0,62,1.0,1.0,kingside,kingside,21.0,resignation,A49,Indian Defense: Przepiorka Variation,A,125,15.14,58.76,0.0,4.0,2.0,2.0,966.0,1156.0,-53.0,200.01,226,2325.0,Expert,Expert,-43.62,1.0,2,kaggle_pgn,True
11535,2567,2423,1-0,47,1.0,1.0,kingside,kingside,22.0,resignation,A10,English Opening: Great Snake Variation,A,95,22.71,54.25,2.0,3.0,0.0,4.0,909.0,909.0,-31.0,177.13,144,2495.0,Master,Expert,-31.54,1.0,2,kaggle_pgn,True
11536,2378,1915,1-0,35,1.0,0.0,kingside,none,14.0,resignation,D10,Slav Defense,D,71,78.73,81.91,1.0,4.0,0.0,5.0,868.0,1414.0,13.0,324.87,463,2146.0,Expert,Advanced,-3.18,1.0,2,kaggle_pgn,True
11537,2681,2397,1-0,47,1.0,1.0,kingside,kingside,21.0,resignation,E70,King's Indian Defense: Normal Variation,E,95,20.9,29.4,1.0,0.0,1.0,6.0,199.0,365.0,-10.0,110.85,284,2539.0,Master,Expert,-8.5,1.0,2,kaggle_pgn,True
11538,2230,2503,0-1,32,1.0,1.0,kingside,kingside,18.0,resignation,C65,"Ruy Lopez: Berlin Defense, Anti-Berlin Variation",C,64,334.11,903.67,2.0,2.0,3.0,0.0,-620.0,44.0,-11155.0,1525.86,-273,2366.0,Expert,Master,-569.56,0.0,0,kaggle_pgn,True
11539,2062,2177,0-1,30,1.0,1.0,kingside,kingside,13.0,resignation,E81,"King's Indian Defense: Sämisch Variation, Normal Defense",E,60,79.4,42.64,3.0,1.0,3.0,1.0,-1867.0,68.0,-1867.0,334.3,-115,2120.0,Expert,Expert,36.76,0.0,0,kaggle_pgn,True
11540,2658,2680,1/2-1/2,31,1.0,1.0,kingside,kingside,12.0,draw,B53,Sicilian Defense: Chekhover Variation,B,63,10.94,10.07,0.0,0.0,0.0,0.0,6.0,64.0,-32.0,19.71,-22,2669.0,Master,Master,0.87,,1,kaggle_pgn,True
11541,2423,2296,1-0,30,1.0,1.0,kingside,kingside,18.0,resignation,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",B,61,403.36,168.75,1.0,4.0,1.0,2.0,1503.0,5740.0,-30.0,837.72,127,2360.0,Expert,Expert,234.61,1.0,2,kaggle_pgn,True
11542,1959,2256,0-1,56,1.0,1.0,queenside,kingside,22.0,resignation,B90,Sicilian Defense: Najdorf Variation,B,112,55.35,28.35,7.0,1.0,1.0,1.0,-845.0,64.0,-1129.0,252.72,-297,2108.0,Advanced,Expert,27.0,0.0,0,kaggle_pgn,True
11543,2181,2167,1-0,52,1.0,1.0,kingside,kingside,19.0,resignation,E90,"King's Indian Defense: Normal Variation, Rare Defenses",E,105,28.04,48.38,1.0,4.0,3.0,3.0,910.0,910.0,-1.0,146.85,14,2174.0,Expert,Expert,-20.34,1.0,2,kaggle_pgn,True
11544,2159,2053,1-0,24,1.0,1.0,queenside,kingside,13.0,resignation,B25,Sicilian Defense: Closed,B,49,25.6,87.73,1.0,4.0,0.0,0.0,978.0,1045.0,-6.0,272.68,106,2106.0,Expert,Expert,-62.13,1.0,2,kaggle_pgn,True
11545,2813,2868,1/2-1/2,30,1.0,1.0,kingside,kingside,14.0,draw,D37,Queen's Gambit Declined: Barmen Variation,D,60,10.08,7.86,0.0,0.0,0.0,0.0,0.0,53.0,-27.0,17.65,-55,2840.0,Master,Master,2.22,,1,kaggle_pgn,True
11546,2391,2543,1/2-1/2,44,1.0,1.0,kingside,kingside,19.0,draw,A20,English Opening: King's English Variation,A,88,26.91,35.46,2.0,3.0,1.0,1.0,148.0,410.0,-26.0,78.89,-152,2467.0,Expert,Master,-8.55,,1,kaggle_pgn,True
11547,2708,2785,1-0,43,1.0,1.0,queenside,queenside,16.0,resignation,E12,Queen's Indian Defense: Miles Variation,E,87,10.15,33.43,0.0,2.0,0.0,1.0,620.0,620.0,-87.0,110.55,-77,2746.0,Master,Master,-23.28,1.0,2,kaggle_pgn,True
11548,1698,1815,0-1,33,1.0,1.0,kingside,kingside,13.0,resignation,B22,Sicilian Defense: Alapin Variation,B,66,57.2,45.9,3.0,2.0,2.0,1.0,-1108.0,64.0,-1108.0,322.0,-117,1756.0,Advanced,Advanced,11.3,0.0,0,kaggle_pgn,True
11549,2539,2393,1-0,36,1.0,1.0,kingside,kingside,12.0,resignation,A07,King's Indian Attack: Yugoslav Variation,A,73,28.5,44.79,1.0,2.0,2.0,3.0,614.0,649.0,-21.0,157.09,146,2466.0,Master,Expert,-16.29,1.0,2,kaggle_pgn,True
11550,2344,2469,0-1,54,1.0,0.0,kingside,none,26.0,resignation,D02,Queen's Pawn Game: Symmetrical Variation,D,108,186.19,25.75,5.0,0.0,3.0,3.0,-5394.0,140.0,-5394.0,1369.38,-125,2406.0,Expert,Expert,160.44,0.0,0,kaggle_pgn,True
11551,2356,2406,1/2-1/2,28,1.0,1.0,kingside,kingside,15.0,draw,A04,Zukertort Opening: Sicilian Invitation,A,57,12.45,11.43,0.0,0.0,0.0,0.0,0.0,61.0,-18.0,15.59,-50,2381.0,Expert,Expert,1.02,,1,kaggle_pgn,True
11552,2505,2667,0-1,46,1.0,1.0,queenside,kingside,16.0,resignation,B90,Sicilian Defense: Najdorf Variation,B,92,21.33,15.79,0.0,0.0,1.0,1.0,-262.0,64.0,-294.0,102.8,-162,2586.0,Master,Master,5.54,0.0,0,kaggle_pgn,True
11553,2377,2309,0-1,53,1.0,1.0,kingside,kingside,26.0,resignation,A12,"Réti Opening: Anglo-Slav Variation, Bogoljubow Variation",A,106,60.27,35.1,4.0,2.0,5.0,3.0,-1253.0,113.0,-1253.0,210.32,68,2343.0,Expert,Expert,25.17,0.0,0,kaggle_pgn,True
11554,2060,2108,1-0,55,1.0,1.0,kingside,kingside,22.0,resignation,B24,Sicilian Defense: Closed,B,110,18.65,65.97,0.0,4.0,1.0,5.0,1725.0,1725.0,-7.0,294.3,-48,2084.0,Expert,Expert,-47.32,1.0,2,kaggle_pgn,True
11555,2398,2082,1/2-1/2,33,1.0,1.0,kingside,kingside,10.0,draw,B00,Owen Defense,B,66,20.89,12.0,1.0,0.0,1.0,1.0,18.0,112.0,-58.0,26.9,316,2240.0,Expert,Expert,8.89,,1,kaggle_pgn,True
11556,2710,2651,1/2-1/2,34,1.0,1.0,kingside,kingside,18.0,draw,D85,Grünfeld Defense: Exchange Variation,D,68,26.18,21.4,0.0,0.0,2.0,2.0,0.0,69.0,-146.0,45.27,59,2680.0,Master,Master,4.78,,1,kaggle_pgn,True
11557,2330,2577,0-1,38,1.0,0.0,queenside,none,14.0,resignation,E30,Nimzo-Indian Defense: Leningrad Variation,E,76,34.48,13.58,1.0,0.0,6.0,0.0,-435.0,38.0,-523.0,135.43,-247,2454.0,Expert,Master,20.9,0.0,0,kaggle_pgn,True
11558,1927,1824,1-0,47,1.0,1.0,kingside,kingside,25.0,resignation,C42,Petrov's Defense: Three Knights Game,C,95,300.84,474.39,1.0,4.0,1.0,1.0,4918.0,10598.0,-65.0,1648.24,103,1876.0,Advanced,Advanced,-173.55,1.0,2,kaggle_pgn,True
11559,2105,2511,1/2-1/2,83,0.0,0.0,none,none,25.0,draw,B50,"Sicilian Defense: Delayed Alapin Variation, with d6",B,167,32.05,39.15,5.0,5.0,3.0,3.0,22.0,365.0,-23.0,105.97,-406,2308.0,Expert,Master,-7.1,,1,kaggle_pgn,True
11560,2242,2125,1-0,41,1.0,1.0,kingside,kingside,10.0,resignation,E00,Catalan Opening,E,83,46.88,476.52,1.0,4.0,2.0,1.0,634.0,11775.0,-5.0,1294.65,117,2184.0,Expert,Expert,-429.64,1.0,2,kaggle_pgn,True
11561,2242,2603,0-1,69,1.0,1.0,kingside,kingside,26.0,resignation,A41,Queen's Pawn Game,A,138,150.43,19.14,4.0,1.0,5.0,1.0,-3977.0,72.0,-5626.0,622.38,-361,2422.0,Expert,Master,131.29,0.0,0,kaggle_pgn,True
11562,2415,2230,1-0,30,1.0,1.0,kingside,queenside,17.0,resignation,D09,"Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation, Bg4 Line",D,61,45.2,165.95,2.0,7.0,1.0,2.0,2540.0,3073.0,9.0,639.9,185,2322.0,Expert,Expert,-120.75,1.0,2,kaggle_pgn,True
11563,2574,2295,1-0,74,1.0,1.0,kingside,kingside,27.0,resignation,A48,London System,A,149,44.73,147.9,4.0,6.0,5.0,3.0,4437.0,4639.0,-169.0,1054.28,279,2434.0,Master,Expert,-103.17,1.0,2,kaggle_pgn,True
11564,2424,2032,1-0,38,1.0,1.0,kingside,kingside,18.0,resignation,B33,Sicilian Defense: Open,B,77,61.85,120.62,3.0,6.0,0.0,7.0,2361.0,2361.0,0.0,509.81,392,2228.0,Expert,Expert,-58.77,1.0,2,kaggle_pgn,True
11565,2467,2185,1/2-1/2,39,1.0,1.0,kingside,kingside,21.0,draw,A20,English Opening: King's English Variation,A,78,14.2,35.22,0.0,1.0,0.0,0.0,-12.0,446.0,-35.0,83.21,282,2326.0,Expert,Expert,-21.02,,1,kaggle_pgn,True
11566,2517,2475,1/2-1/2,29,1.0,1.0,queenside,queenside,14.0,draw,C45,"Scotch Game: Classical Variation, Intermezzo Variation",C,58,7.0,14.8,0.0,0.0,0.0,1.0,132.0,132.0,-13.0,33.45,42,2496.0,Master,Expert,-7.8,,1,kaggle_pgn,True
11567,1952,2084,1/2-1/2,44,1.0,0.0,kingside,none,16.0,draw,A40,Queen's Pawn Game: Modern Defense,A,89,57.23,85.61,3.0,4.0,4.0,3.0,18.0,1133.0,-92.0,217.12,-132,2018.0,Advanced,Expert,-28.38,,1,kaggle_pgn,True
11568,2327,2418,1-0,34,1.0,0.0,kingside,none,20.0,resignation,B42,"Sicilian Defense: Kan Variation, Polugaevsky Variation",B,69,20.93,30.14,1.0,2.0,0.0,0.0,405.0,412.0,-17.0,126.69,-91,2372.0,Expert,Expert,-9.21,1.0,2,kaggle_pgn,True
11569,2174,1782,1-0,29,1.0,1.0,kingside,kingside,11.0,resignation,A46,Indian Defense: Knights Variation,A,59,7.25,16.89,0.0,1.0,0.0,0.0,206.0,236.0,5.0,63.55,392,1978.0,Expert,Advanced,-9.64,1.0,2,kaggle_pgn,True
11570,1981,2114,1-0,51,1.0,0.0,queenside,none,28.0,resignation,B27,Sicilian Defense: Hyperaccelerated Fianchetto,B,102,31.52,359.97,2.0,8.0,3.0,1.0,10289.0,10289.0,-39.0,1376.88,-133,2048.0,Advanced,Expert,-328.45,1.0,2,kaggle_pgn,True
11571,2440,2489,1-0,37,1.0,1.0,kingside,kingside,20.0,resignation,A09,Réti Opening,A,75,14.75,118.19,1.0,2.0,0.0,0.0,956.0,1628.0,-132.0,216.77,-49,2464.0,Expert,Expert,-103.44,1.0,2,kaggle_pgn,True
11572,2067,2373,1/2-1/2,37,1.0,1.0,kingside,kingside,16.0,draw,B15,Caro-Kann Defense,B,74,145.38,311.76,2.0,1.0,0.0,0.0,36.0,5119.0,-1539.0,660.22,-306,2220.0,Expert,Expert,-166.38,,1,kaggle_pgn,True
11573,1950,2244,0-1,60,1.0,1.0,kingside,kingside,28.0,resignation,B06,Modern Defense,B,120,329.18,396.07,6.0,3.0,4.0,0.0,-5896.0,94.0,-11560.0,2882.73,-294,2097.0,Advanced,Expert,-66.89,0.0,0,kaggle_pgn,True
11574,2331,2514,1/2-1/2,50,1.0,1.0,queenside,queenside,12.0,draw,A50,Indian Defense: Normal Variation,A,101,10.36,10.48,0.0,0.0,0.0,0.0,-9.0,62.0,-65.0,28.08,-183,2422.0,Expert,Master,-0.12,,1,kaggle_pgn,True
11575,2340,2059,1-0,24,1.0,1.0,kingside,kingside,13.0,resignation,A05,Zukertort Opening,A,49,19.1,75.81,0.0,4.0,2.0,2.0,728.0,1002.0,-17.0,317.08,281,2200.0,Expert,Expert,-56.71,1.0,2,kaggle_pgn,True
11576,2274,2123,1-0,58,1.0,1.0,kingside,kingside,16.0,resignation,E00,Catalan Opening,E,117,22.23,50.68,0.0,5.0,5.0,3.0,821.0,821.0,-58.0,142.48,151,2198.0,Expert,Expert,-28.45,1.0,2,kaggle_pgn,True
11577,2659,2417,1/2-1/2,26,1.0,1.0,kingside,kingside,13.0,draw,D10,Slav Defense,D,53,24.42,61.44,0.0,2.0,0.0,2.0,0.0,230.0,-17.0,57.69,242,2538.0,Master,Expert,-37.02,,1,kaggle_pgn,True
11578,2612,2212,1/2-1/2,42,1.0,1.0,kingside,kingside,18.0,draw,A04,Zukertort Opening: Sicilian Invitation,A,85,15.93,19.74,0.0,1.0,0.0,0.0,0.0,135.0,-68.0,27.21,400,2412.0,Master,Expert,-3.81,,1,kaggle_pgn,True
11579,1931,2257,1-0,32,1.0,1.0,kingside,kingside,14.0,resignation,A09,Réti Opening: Advance Variation,A,65,20.67,28.8,0.0,1.0,1.0,1.0,217.0,222.0,-82.0,71.77,-326,2094.0,Advanced,Expert,-8.13,1.0,2,kaggle_pgn,True
11580,2393,2239,1-0,62,1.0,1.0,kingside,kingside,26.0,resignation,C09,"French Defense: Tarrasch Variation, Open System, Main Line",C,125,14.67,20.85,0.0,0.0,1.0,4.0,1865.0,1865.0,-23.0,215.61,154,2316.0,Expert,Expert,-6.18,1.0,2,kaggle_pgn,True
11581,2368,2240,1-0,59,1.0,1.0,kingside,kingside,18.0,resignation,B50,"Sicilian Defense: Delayed Alapin Variation, with d6",B,119,62.57,107.03,3.0,5.0,0.0,4.0,368.0,2242.0,-50.0,280.61,128,2304.0,Expert,Expert,-44.46,1.0,2,kaggle_pgn,True
11582,1872,1893,1/2-1/2,17,1.0,1.0,kingside,kingside,9.0,draw,B23,Sicilian Defense: Closed,B,35,12.62,54.22,0.0,1.0,0.0,2.0,422.0,422.0,-16.0,140.1,-21,1882.0,Advanced,Advanced,-41.6,,1,kaggle_pgn,True
11583,1724,2023,0-1,46,1.0,1.0,kingside,kingside,15.0,resignation,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation",B,92,64.0,45.0,5.0,2.0,5.0,0.0,-1317.0,64.0,-1363.0,386.38,-299,1874.0,Advanced,Expert,19.0,0.0,0,kaggle_pgn,True
11584,2133,2340,1/2-1/2,55,1.0,1.0,kingside,kingside,25.0,draw,A48,London System,A,111,32.26,34.21,2.0,2.0,2.0,1.0,0.0,59.0,-468.0,77.08,-207,2236.0,Expert,Expert,-1.95,,1,kaggle_pgn,True
11585,2213,2079,1-0,40,1.0,1.0,kingside,kingside,19.0,resignation,A07,King's Indian Attack,A,81,35.25,84.05,2.0,5.0,2.0,2.0,982.0,1024.0,-115.0,259.84,134,2146.0,Expert,Expert,-48.8,1.0,2,kaggle_pgn,True
11586,2255,2121,0-1,17,1.0,1.0,queenside,kingside,3.0,resignation,E60,"Indian Defense: Anti-Grünfeld, Alekhine Variation",E,34,100.62,34.0,2.0,0.0,0.0,1.0,-654.0,56.0,-698.0,166.91,134,2188.0,Expert,Expert,66.62,0.0,0,kaggle_pgn,True
11587,2313,2185,1/2-1/2,64,1.0,1.0,kingside,kingside,21.0,draw,D02,Queen's Pawn Game: Symmetrical Variation,D,129,11.5,16.5,0.0,0.0,1.0,2.0,59.0,134.0,-1.0,33.63,128,2249.0,Expert,Expert,-5.0,,1,kaggle_pgn,True
11588,2100,2523,0-1,24,1.0,1.0,kingside,kingside,13.0,resignation,B06,"Modern Defense: Two Knights Variation, Suttles Variation",B,48,23.93,8.71,0.0,0.0,1.0,0.0,-189.0,94.0,-189.0,66.43,-423,2312.0,Expert,Master,15.22,0.0,0,kaggle_pgn,True
11589,2239,2259,0-1,65,1.0,0.0,queenside,none,22.0,resignation,A03,Bird Opening: Dutch Variation,A,130,200.39,34.41,7.0,3.0,6.0,2.0,-6223.0,6.0,-6223.0,795.56,-20,2249.0,Expert,Expert,165.98,0.0,0,kaggle_pgn,True
11590,2510,2415,1-0,55,1.0,1.0,kingside,kingside,22.0,resignation,A36,"English Opening: Symmetrical Variation, Ultra-Symmetrical Variation",A,111,12.6,20.15,0.0,0.0,0.0,1.0,132.0,145.0,-9.0,34.57,95,2462.0,Master,Expert,-7.55,1.0,2,kaggle_pgn,True
11591,2529,2628,1/2-1/2,29,1.0,1.0,kingside,kingside,10.0,draw,B22,"Sicilian Defense: Alapin Variation, Smith-Morra Declined",B,58,10.29,11.07,0.0,0.0,0.0,0.0,34.0,69.0,-8.0,18.78,-99,2578.0,Master,Master,-0.78,,1,kaggle_pgn,True
11592,1581,2296,0-1,36,1.0,0.0,kingside,none,13.0,resignation,B41,"Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation",B,72,22.27,22.57,0.0,0.0,1.0,1.0,-181.0,91.0,-220.0,81.3,-715,1938.0,Advanced,Expert,-0.3,0.0,0,kaggle_pgn,True
11593,2201,2435,0-1,46,1.0,1.0,kingside,kingside,20.0,resignation,A80,Dutch Defense,A,92,43.41,20.29,3.0,0.0,5.0,1.0,-818.0,69.0,-818.0,217.6,-234,2318.0,Expert,Expert,23.12,0.0,0,kaggle_pgn,True
11594,2232,2071,0-1,30,1.0,1.0,kingside,kingside,11.0,resignation,A46,Indian Defense: Knights Variation,A,60,144.27,39.64,4.0,1.0,1.0,0.0,-2728.0,53.0,-2728.0,403.78,161,2152.0,Expert,Expert,104.63,0.0,0,kaggle_pgn,True
11595,1665,2073,0-1,44,1.0,1.0,kingside,kingside,13.0,resignation,A57,Benko Gambit Accepted: Pawn Return Variation,A,88,41.66,39.78,4.0,1.0,0.0,3.0,-645.0,328.0,-645.0,180.45,-408,1869.0,Advanced,Expert,1.88,0.0,0,kaggle_pgn,True
11596,2554,2412,1-0,41,1.0,1.0,queenside,kingside,14.0,resignation,D31,Queen's Gambit Declined: Queen's Knight Variation,D,83,40.0,89.85,2.0,2.0,0.0,6.0,-284.0,1168.0,-284.0,136.65,142,2483.0,Master,Expert,-49.85,1.0,2,kaggle_pgn,True
11597,2534,2617,1/2-1/2,43,1.0,1.0,kingside,kingside,15.0,draw,A13,English Opening: Agincourt Defense,A,86,15.87,25.95,0.0,1.0,1.0,3.0,91.0,137.0,-14.0,41.36,-83,2576.0,Master,Master,-10.08,,1,kaggle_pgn,True
11598,2177,2394,1/2-1/2,49,1.0,1.0,kingside,kingside,20.0,draw,C42,Petrov's Defense: Nimzowitsch Attack,C,98,10.82,27.41,0.0,1.0,0.0,0.0,0.0,313.0,-13.0,42.48,-217,2286.0,Expert,Expert,-16.59,,1,kaggle_pgn,True
11599,2175,1914,0-1,41,1.0,1.0,kingside,kingside,18.0,resignation,B07,Czech Defense,B,82,60.42,48.6,5.0,5.0,3.0,1.0,-653.0,465.0,-794.0,242.31,261,2044.0,Expert,Advanced,11.82,0.0,0,kaggle_pgn,True
11600,1999,2191,0-1,47,1.0,0.0,kingside,none,18.0,resignation,B06,Modern Defense,B,94,49.4,33.2,4.0,2.0,4.0,2.0,-831.0,107.0,-843.0,225.14,-192,2095.0,Advanced,Expert,16.2,0.0,0,kaggle_pgn,True
11601,2654,2269,1-0,35,1.0,1.0,kingside,kingside,14.0,resignation,E90,"King's Indian Defense: Normal Variation, Rare Defenses",E,71,372.0,141.67,1.0,3.0,0.0,1.0,1448.0,5403.0,-12.0,769.08,385,2462.0,Master,Expert,230.33,1.0,2,kaggle_pgn,True
11602,2024,2589,0-1,46,1.0,1.0,kingside,kingside,20.0,resignation,A50,Indian Defense: Normal Variation,A,92,34.93,21.74,3.0,0.0,2.0,1.0,-607.0,58.0,-626.0,178.08,-565,2306.0,Expert,Master,13.19,0.0,0,kaggle_pgn,True
11603,2296,1802,1-0,40,1.0,1.0,kingside,kingside,21.0,resignation,B15,Caro-Kann Defense,B,81,22.21,88.22,1.0,2.0,1.0,2.0,931.0,931.0,-36.0,191.37,494,2049.0,Expert,Advanced,-66.01,1.0,2,kaggle_pgn,True
11604,2246,2397,0-1,62,1.0,1.0,queenside,kingside,24.0,resignation,C45,Scotch Game: Potter Variation,C,124,151.06,44.05,4.0,1.0,4.0,3.0,-5009.0,45.0,-5009.0,691.37,-151,2322.0,Expert,Expert,107.01,0.0,0,kaggle_pgn,True
11605,2385,2328,1/2-1/2,43,1.0,1.0,kingside,kingside,14.0,draw,B30,Sicilian Defense: Old Sicilian,B,86,21.62,17.67,0.0,0.0,2.0,1.0,0.0,108.0,-69.0,35.89,57,2356.0,Expert,Expert,3.95,,1,kaggle_pgn,True
11606,1708,1829,1/2-1/2,32,1.0,1.0,kingside,kingside,15.0,draw,B33,Sicilian Defense: Lasker-Pelikan Variation,B,65,18.73,23.92,0.0,0.0,2.0,1.0,-63.0,64.0,-92.0,42.09,-121,1768.0,Advanced,Advanced,-5.19,,1,kaggle_pgn,True
11607,2215,1882,1/2-1/2,21,1.0,1.0,kingside,kingside,10.0,draw,A06,Zukertort Opening,A,42,17.55,11.44,0.0,0.0,1.0,0.0,-27.0,58.0,-47.0,23.31,333,2048.0,Expert,Advanced,6.11,,1,kaggle_pgn,True
11608,2527,2394,1/2-1/2,10,1.0,0.0,kingside,none,4.0,draw,C42,Petrov's Defense: Cozio Attack,C,21,8.2,13.75,0.0,0.0,0.0,0.0,38.0,60.0,9.0,14.73,133,2460.0,Master,Expert,-5.55,,1,kaggle_pgn,True
11609,2380,2045,1-0,46,1.0,1.0,kingside,kingside,21.0,resignation,C63,Ruy Lopez: Schliemann Defense,C,93,12.65,72.1,0.0,2.0,0.0,3.0,2008.0,2008.0,14.0,291.57,335,2212.0,Expert,Expert,-59.45,1.0,2,kaggle_pgn,True
11610,2473,2499,1/2-1/2,34,1.0,1.0,kingside,kingside,4.0,draw,A05,Zukertort Opening,A,68,14.06,13.0,0.0,0.0,0.0,1.0,-58.0,41.0,-74.0,30.33,-26,2486.0,Expert,Expert,1.06,,1,kaggle_pgn,True
11611,2170,2338,1/2-1/2,62,1.0,1.0,kingside,kingside,23.0,draw,C03,"French Defense: Tarrasch Variation, Morozevich Variation",C,125,53.0,61.76,5.0,4.0,4.0,5.0,0.0,774.0,-13.0,205.94,-168,2254.0,Expert,Expert,-8.76,,1,kaggle_pgn,True
11612,1806,2153,0-1,22,1.0,1.0,kingside,kingside,8.0,resignation,C50,Italian Game: Rosentreter Gambit,C,44,41.93,21.8,1.0,0.0,1.0,0.0,-462.0,60.0,-469.0,119.17,-347,1980.0,Advanced,Expert,20.13,0.0,0,kaggle_pgn,True
11613,1919,2145,1-0,38,1.0,1.0,kingside,kingside,15.0,resignation,B50,Sicilian Defense: Modern Variations,B,77,24.5,88.11,0.0,1.0,2.0,1.0,1180.0,1281.0,-140.0,199.98,-226,2032.0,Advanced,Expert,-63.61,1.0,2,kaggle_pgn,True
11614,1918,2065,1/2-1/2,46,1.0,1.0,kingside,kingside,22.0,draw,E60,"Indian Defense: Anti-Grünfeld, Alekhine Variation",E,93,86.73,78.22,2.0,4.0,4.0,5.0,0.0,477.0,-338.0,206.15,-147,1992.0,Advanced,Expert,8.51,,1,kaggle_pgn,True
11615,2062,2039,1-0,35,1.0,1.0,kingside,kingside,15.0,resignation,D90,Grünfeld Defense: Three Knights Variation,D,71,129.65,43.58,6.0,2.0,1.0,2.0,-521.0,563.0,-912.0,213.47,23,2050.0,Expert,Expert,86.07,1.0,2,kaggle_pgn,True
11616,2508,2074,0-1,19,1.0,1.0,kingside,kingside,7.0,resignation,B01,Scandinavian Defense: Bronstein Variation,B,38,171.6,10.5,1.0,0.0,0.0,0.0,-1668.0,86.0,-1668.0,372.64,434,2291.0,Master,Expert,161.1,0.0,0,kaggle_pgn,True
11617,2439,2362,1/2-1/2,67,1.0,1.0,kingside,kingside,25.0,draw,E81,"King's Indian Defense: Sämisch Variation, Normal Defense",E,135,23.66,35.17,2.0,2.0,1.0,5.0,-79.0,277.0,-133.0,70.13,77,2400.0,Expert,Expert,-11.51,,1,kaggle_pgn,True
11618,2092,2141,0-1,22,1.0,1.0,kingside,kingside,11.0,resignation,B23,Sicilian Defense: Closed,B,44,27.54,16.33,0.0,0.0,2.0,0.0,-291.0,64.0,-291.0,80.05,-49,2116.0,Expert,Expert,11.21,0.0,0,kaggle_pgn,True
11619,1357,1370,1-0,32,1.0,0.0,kingside,none,13.0,resignation,D10,Slav Defense,D,65,108.75,688.0,7.0,10.0,0.0,4.0,1840.0,10700.0,-8.0,1320.09,-13,1364.0,Intermediate,Intermediate,-579.25,1.0,2,kaggle_pgn,True
11620,2379,2320,1/2-1/2,15,1.0,1.0,kingside,kingside,2.0,draw,A46,Indian Defense: Knights Variation,A,31,10.25,7.6,0.0,0.0,0.0,0.0,-13.0,25.0,-13.0,9.11,59,2350.0,Expert,Expert,2.65,,1,kaggle_pgn,True
11621,2527,2485,1/2-1/2,59,1.0,1.0,kingside,kingside,27.0,draw,E20,Nimzo-Indian Defense: Kmoch Variation,E,118,16.86,16.69,0.0,1.0,1.0,1.0,141.0,149.0,-43.0,53.98,42,2506.0,Master,Expert,0.17,,1,kaggle_pgn,True
11622,1983,2130,1/2-1/2,27,1.0,1.0,kingside,kingside,10.0,draw,B13,Caro-Kann Defense: Exchange Variation,B,54,13.0,15.21,0.0,0.0,0.0,0.0,117.0,117.0,-3.0,19.44,-147,2056.0,Advanced,Expert,-2.21,,1,kaggle_pgn,True
11623,2406,2597,1/2-1/2,60,1.0,1.0,kingside,kingside,27.0,draw,B10,Caro-Kann Defense: Breyer Variation,B,120,14.05,21.94,0.0,1.0,0.0,1.0,0.0,162.0,-94.0,23.76,-191,2502.0,Expert,Master,-7.89,,1,kaggle_pgn,True
11624,2275,2028,0-1,41,1.0,1.0,kingside,kingside,14.0,resignation,A00,Van Geet Opening,A,82,298.48,57.84,4.0,1.0,2.0,2.0,-2348.0,703.0,-5750.0,798.42,247,2152.0,Expert,Expert,240.64,0.0,0,kaggle_pgn,True
11625,2556,2523,1-0,42,0.0,1.0,none,queenside,20.0,resignation,A80,Dutch Defense: Hopton Attack,A,85,10.45,22.13,0.0,1.0,0.0,1.0,292.0,327.0,-8.0,70.39,33,2540.0,Master,Master,-11.68,1.0,2,kaggle_pgn,True
11626,1955,2355,0-1,42,1.0,1.0,kingside,kingside,16.0,resignation,A40,Horwitz Defense,A,84,30.68,24.0,0.0,1.0,7.0,1.0,-327.0,79.0,-328.0,120.27,-400,2155.0,Advanced,Expert,6.68,0.0,0,kaggle_pgn,True
11627,2321,2242,1-0,30,1.0,1.0,queenside,kingside,12.0,resignation,D20,"Queen's Gambit Accepted: Central Variation, Modern Defense",D,61,29.27,93.06,1.0,6.0,1.0,2.0,1331.0,1331.0,-94.0,318.34,79,2282.0,Expert,Expert,-63.79,1.0,2,kaggle_pgn,True
