game_id,rated,turns,victory_status,winner,time_increment,white_id,white_rating,black_id,black_rating,moves,opening_code,opening_moves,opening_fullname,opening_shortname,opening_response,opening_variation
2137,TRUE,41,Mate,White,30+0,dell2016,1466,ecstasydrug,1673,e4 e5 d4 exd4 Qxd4 Nc6 Qd1 Bc5 a3 Nf6 Nc3 a6 Qe2 b5 Nd5 O-O Nxf6+ Qxf6 Qf3 Qe6 Bd3 Ne5 Qg3 Nxd3+ cxd3 Bb6 Be3 Bxe3 Qxe3 c6 h3 d5 Nf3 Re8 O-O dxe4 Ng5 Qd5 Rad1 exd3 Qxe8#,C22,6,Center Game: Normal Variation,Center Game,,Normal Variation
2138,TRUE,41,Out of Time,White,10+0,gingerthecookie,1742,qchuong,1785,e4 e5 Nf3 Nc6 d4 exd4 Bc4 h6 O-O Nf6 e5 Ng4 Nxd4 Ngxe5 Nxc6 Nxc6 Re1+ Be7 Qf3 O-O Bxh6 gxh6 Qg4+ Kh8 Qh5 Bg5 Bxf7 Qf6 Re8 Rxe8 Bxe8 Qxb2 h4 Qxa1 hxg5 Qxb1+ Kh2 Qxc2 Qxh6+ Qh7 Kh3,C44,7,Scotch Game: Scotch Gambit,Scotch Game,,Scotch Gambit
2139,TRUE,89,Mate,White,10+0,aliozzzz,1650,gingerthecookie,1756,d4 Nf6 Bf4 g6 e3 Bg7 Nd2 O-O c3 Nd5 Bg3 d6 Bd3 Nc6 Ngf3 Bg4 e4 Nb6 h3 Bxf3 Nxf3 e5 Bb5 exd4 Bxc6 bxc6 cxd4 Nc4 Qc1 Nb6 Qxc6 Qe7 O-O Rfe8 Rfe1 a6 Rac1 Rac8 b3 Bh6 Rc2 Nd7 e5 Qd8 Qxa6 dxe5 Nxe5 Nxe5 dxe5 Re6 Qc4 Bg7 Ree2 Qd1+ Kh2 Qd8 Red2 Qg5 Re2 Bxe5 Bxe5 Rxe5 f4 Qe7 Rxe5 Qf6 Rce2 Qxf4+ Qxf4 f6 Re8+ Rxe8 Rxe8+ Kf7 Rc8 g5 Rxc7+ Kg6 Qe4+ f5 Rc6+ Kh5 Qe2+ g4 Qe8+ Kg5 Qe7+ Kf4 Rc4#,A45,2,Indian Game,Indian Game,,
2140,TRUE,84,Mate,Black,7+2,likechesss,1629,gingerthecookie,1749,e4 c5 c3 e6 a3 Nc6 d4 cxd4 cxd4 d5 e5 f6 Nf3 fxe5 dxe5 Nge7 Bd3 d4 O-O g6 Bb5 Bg7 Bxc6+ Nxc6 Re1 O-O Nbd2 Qd5 Qa4 Nxe5 Nxe5 Bxe5 Nf3 Bd7 Qd1 Bc6 Rxe5 Qd6 Qxd4 Qxd4 Nxd4 Rad8 Be3 Bd5 Nxe6 Bxe6 Rxe6 Rd5 Bxa7 Rfd8 g3 Ra5 Bb6 Ra6 Bxd8 Rxe6 Ba5 Re5 b4 Kf7 Bc7 Re7 Bf4 Kf6 a4 Re4 b5 g5 Be3 h6 a5 Re5 b6 Rb5 a6 bxa6 Rxa6 Kf5 Ra7 Kg4 b7 Kf3 Bd4 Rb1#,B22,3,Sicilian Defense: Alapin Variation,Sicilian Defense,,Alapin Variation
2141,FALSE,100,Draw,Draw,10+0,thierry972,1519,gingerthecookie,1749,e4 c5 Nf3 d6 Bc4 Bg4 h3 Bxf3 Qxf3 Nf6 e5 dxe5 Qxb7 Nbd7 Bb5 Rb8 Qa6 Rb6 Qa5 a6 Bxd7+ Nxd7 Nc3 e6 O-O Be7 d3 O-O Be3 Rxb2 Qxd8 Rxd8 Rab1 Rxc2 Ne4 Rxa2 Rb7 a5 Rc1 f5 Nxc5 Bxc5 Bxc5 Nxc5 Rxc5 Ra1+ Kh2 h6 Rxe5 Ra2 Rxe6 Rxf2 Ra6 Ra2 Rba7 Kh7 Rxa5 Rxa5 Rxa5 Rxd3 Rxf5 Kg6 Re5 Kf6 Rc5 Rd6 h4 g5 Kh3 Rd3+ g3 gxh4 Kxh4 Rd6 g4 Kg6 Ra5 Rf6 Rc5 Re6 Rd5 Rf6 Ra5 Re6 Rb5 Rf6 Rc5 Re6 Rd5 Rf6 Rc5 Rd6 Rb5 Re6 Rc5 Rf6 Ra5 Re6 Rc5 Rd6,B50,4,Sicilian Defense,Sicilian Defense,,
2142,TRUE,70,Resign,Black,10+0,alakard,1851,foxman2010,1887,e4 e6 d4 d5 exd5 exd5 Bd3 Nf6 h3 Bd6 Nf3 O-O O-O Ne4 Re1 Re8 c4 c6 cxd5 cxd5 Nc3 Nxc3 bxc3 Rxe1+ Qxe1 Bd7 Rb1 Qc7 Bf5 Bxf5 Qe8+ Bf8 Ba3 Nd7 Qxa8 Bxb1 Ne5 Qb8 Qxb8 Nxb8 Bxf8 Kxf8 a3 h5 f4 Be4 Kf2 f6 Nf3 Bxf3 Kxf3 Nc6 g4 hxg4+ hxg4 g6 Ke3 Ke7 Kd3 Na5 a4 Kd6 Kc2 Kc6 Kd3 Nc4 g5 f5 Kc2 Kb6,C01,5,French Defense: Exchange Variation,French Defense,,Exchange Variation
2143,TRUE,52,Resign,Black,10+0,alakard,1874,rafael_ludy,1774,e4 e6 d4 d5 exd5 Qxd5 Nf3 Nc6 c4 Qd8 a3 Nf6 Nc3 Be7 Bg5 O-O Bd3 h6 Bh4 b6 O-O Bb7 Re1 Qd7 Ne4 Nxe4 Bxe7 Nxf2 Kxf2 Nxe7 Ne5 Qd8 Qg4 Nc6 Rad1 Nxe5 Rxe5 Qf6+ Kg1 Rad8 Be4 Bxe4 Qxe4 c5 d5 exd5 Rdxd5 Rxd5 Qxd5 Rd8 Qf3 Qxe5,C01,5,French Defense: Exchange Variation,French Defense,,Exchange Variation
2144,TRUE,50,Resign,Black,10+0,alakard,1891,xxsecondsplay,1793,e4 d5 exd5 c6 Nf3 Nf6 d4 Bg4 Be2 cxd5 O-O e6 c3 Be7 Bf4 O-O Nbd2 Nc6 h3 Bh5 Bd3 Bg6 Qe2 Nh5 Bh2 Bd6 Bxg6 hxg6 Ne5 Nxe5 Bxe5 Bxe5 Qxe5 Qb6 b3 Rac8 c4 dxc4 Nxc4 Qb4 Rfd1 Nf6 Rac1 Nd5 Ne3 Rxc1 Rxc1 Nc3 d5 Ne2+,B01,4,Scandinavian Defense: Blackburne-Kloosterboer Gambit,Scandinavian Defense,,Blackburne-Kloosterboer Gambit
2145,TRUE,87,Resign,White,10+0,alakard,1876,osmeh,1810,e4 c6 d4 d5 exd5 cxd5 Bd3 Nf6 Nf3 Bg4 O-O h6 Re1 e6 Bf4 Nc6 c3 Bd6 Bxd6 Qxd6 h3 Bh5 Nbd2 O-O Qc2 a6 Ne5 Rac8 g4 Nxd4 Qb1 Bg6 cxd4 Bxd3 Qxd3 Nd7 Nxd7 Qxd7 Rac1 Rce8 f4 f5 Qe3 fxg4 hxg4 Qf7 g5 Qxf4 Qxf4 Rxf4 gxh6 gxh6 Nb3 Re7 Re2 Rg7+ Rg2 Rf7 Rc2 Kh7 Rxg7+ Kxg7 Nc5 Re7 Rf2 a5 Kg2 b6 Nd3 Rc7 Kg3 Kh7 Kf4 Rf7+ Ke5 Rxf2 Nxf2 h5 Kxe6 Kg6 Kxd5 Kf6 Kc6 Ke6 d5+ Ke7 Kc7,B13,5,Caro-Kann Defense: Exchange Variation,Caro-Kann Defense,,Exchange Variation
2146,TRUE,52,Resign,Black,10+0,rudiramawulan,1745,alakard,1862,Nf3 Nf6 d4 d5 Nc3 c6 Bg5 Bg4 e3 e6 Be2 Be7 O-O O-O h3 Bh5 g4 Bg6 Ne5 Nbd7 Nxg6 hxg6 f4 c5 Bxf6 Nxf6 g5 Nd7 Qe1 cxd4 exd4 Qb6 Rd1 Rac8 Bb5 Rfd8 Bxd7 Rxd7 Na4 Qa6 Nc5 Bxc5 dxc5 Rxc5 a3 Rxc2 b4 Rdc7 Rc1 Rxc1 Qe5 Qxf1+,D02,4,Queen's Pawn Game: Symmetrical Variation,Queen's Pawn Game,,Symmetrical Variation
2147,TRUE,127,Out of Time,White,10+0,alakard,1833,dx2j,1738,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 a3 cxd4 cxd4 Bd7 b4 Rc8 Be2 Nge7 Bb2 Nf5 g4 Nxb4 axb4 Bxb4+ Kf1 Ne7 Qb3 Ng6 h3 Nf4 Nc3 Bxc3 Qxb6 axb6 Bxc3 Rxc3 Ra8+ Rc8 Rxc8+ Bxc8 Bb5+ Bd7 Bxd7+ Kxd7 Ke1 Ra8 Kd2 Ra3 Ng5 Rd3+ Kc2 Ke7 Rb1 h6 Nh7 Rxd4 Rxb6 Rc4+ Kd2 Rc7 h4 Ng2 h5 Nh4 Ke3 Rd7 f4 d4+ Kd3 Ng2 f5 exf5 gxf5 Nf4+ Kd2 Nd5 Rb5 f6 e6 Rc7 Kd3 Nf4+ Kxd4 Kd6 Rb6+ Ke7 Ke4 Nxh5 Kf3 Rc3+ Ke4 Rc7 Kf3 Ke8 Kg4 g5 Kxh5 Rxh7 e7 Rxe7 Rxf6 Kd7 Rxh6 Re8 Kxg5 Kc7 f6 b6 f7 Re5+ Kf6 Re1 f8=Q Rf1+ Ke7 Rxf8 Kxf8 Kb7 Ke7 Ka6 Kd7 Ka5 Rh5+ b5 Kc6 Ka4 Rxb5,C02,11,French Defense: Advance Variation |  Main Line,French Defense,,Advance Variation
2148,TRUE,54,Mate,Black,10+0,tsremcen,1637,alakard,1821,b3 Nf6 Bb2 e6 c3 g6 Qc2 Bg7 d3 d5 e4 O-O h3 c5 Ne2 Nc6 Ba3 Re8 g4 h6 d4 cxd4 cxd4 Nxe4 Bb2 Qh4 Rh2 Bd7 Nd2 Nd6 Nf4 Rec8 Rg2 Nb4 Qb1 Nc2+ Kd1 Nxa1 Bxa1 Nb5 g5 Qxf4 gxh6 Bxh6 f3 Nc3+ Bxc3 Rxc3 Bd3 Rac8 Qb2 Rc1+ Ke2 Qe3#,A01,2,Nimzo-Larsen Attack: Indian Variation,Nimzo-Larsen Attack,,Indian Variation
2149,TRUE,64,Out of Time,Black,10+0,pizzalberto,1587,alakard,1811,e4 c6 d4 d5 e5 Bf5 Nf3 e6 Bd3 Bxd3 Qxd3 c5 c3 cxd4 cxd4 Nc6 Nc3 Rc8 a3 a6 O-O Nge7 b4 b5 Bg5 h6 Bh4 Qb6 Ne2 Nf5 Rac1 Be7 Bxe7 Nfxe7 Rc3 O-O Rfc1 a5 bxa5 Nxa5 Rb1 Rxc3 Nxc3 Rc8 Nxb5 Qc6 h3 Nc4 a4 Qa6 Qb3 Nf5 Rc1 Rb8 Qb4 Qb6 Qc3 Ra8 Nd2 Nxd2 Qxd2 Rxa4 Nd6 Nxd6,B12,7,Caro-Kann Defense: Advance Variation |  Short Variation,Caro-Kann Defense,,Advance Variation
2150,TRUE,43,Resign,Black,10+0,avichal,1861,neverss,1960,e4 e6 d4 d5 Nc3 Nf6 Bg5 Bb4 e5 h6 exf6 hxg5 fxg7 Rg8 Qh5 Qf6 h4 Qxd4 Ne2 Qxg7 hxg5 d4 a3 dxc3 axb4 cxb2 Rb1 Nc6 c3 a5 b5 Ne5 Qh6 Qxh6 gxh6 a4 Rxb2 Nd3+ Kd2 Nxb2 h7 Rh8 Ng3,C12,11,French Defense: MacCutcheon Variation |  Chigorin Variation,French Defense,,MacCutcheon Variation
2151,TRUE,51,Out of Time,White,10+0,mrmaccc,1882,avichal,1873,d4 Nf6 c4 c5 e3 cxd4 exd4 d5 Nc3 Nc6 Nf3 Bg4 Be2 dxc4 O-O Bxf3 Bxf3 e6 Bxc6+ bxc6 Qa4 Qb6 Qxc4 c5 Be3 Rc8 Qa4+ Nd7 d5 e5 f4 Qxb2 Rac1 exf4 Rxf4 Bd6 Rxf7 Kxf7 Qxd7+ Be7 Rf1+ Kg6 Qxe7 Qxc3 Qd6+ Qf6 Rxf6+ gxf6 Bxc5 Rhf8 Qxf8,B13,12,Caro-Kann Defense: Panov Attack |  Modern Defense |  Mieses Line,Caro-Kann Defense,,Panov Attack
2152,TRUE,57,Mate,White,10+0,terval,1946,avichal,1884,d4 Nf6 c4 c5 e3 cxd4 exd4 d5 Nf3 Nc6 Nc3 Bg4 Be2 dxc4 Bxc4 Nxd4 Ne5 e6 Nxg4 Nxg4 Qxg4 Nc2+ Ke2 Nxa1 Bb5+ Ke7 Rd1 Qb6 Qb4+ Kf6 Ne4+ Ke5 f4+ Kf5 Ng3+ Kf6 Nh5+ Kg6 Bd3+ f5 Qe1 Kxh5 g4+ Kg6 gxf5+ exf5 Qg3+ Kf6 Qg5+ Kf7 Qxf5+ Qf6 Bc4+ Ke7 Qe4+ Qe5 Qxe5#,B13,12,Caro-Kann Defense: Panov Attack |  Modern Defense |  Mieses Line,Caro-Kann Defense,,Panov Attack
2153,TRUE,133,Draw,Draw,10+0,avichal,1885,danny_1,1837,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 a6 Nc3 e6 Be3 Bb4 Qd2 Nf6 f3 O-O Bc4 d5 exd5 exd5 Bb3 Re8 O-O-O a5 a3 Bf8 Bg5 h6 Bxf6 Qxf6 Nxd5 Qd6 Nxc6 bxc6 Nb6 Qxd2+ Rxd2 Rb8 Nxc8 Rbxc8 Rd7 Re7 Rhd1 c5 Rxe7 Bxe7 Rd7 Kf8 Bd5 c4 Ra7 c3 bxc3 Bxa3+ Kd2 Be7 Rxa5 Bg5+ Kd3 Rd8 Ra8 Ke7 Rxd8 Kxd8 Bxf7 Kd7 Bd5 Kd6 Be4 Bf6 c4 g5 h3 Be5 Bd5 Bg3 Ke4 h5 Kf5 Bf4 Be4 h4 Kg4 Kc5 Bd3 Kd4 Kf5 Kc5 Ke4 Bd2 Be2 Bf4 Kd3 Bc1 Bf1 Bf4 Ke2 Kxc4 Kf2+ Kc3 Bd3 Kd2 Be4 Be3+ Kf1 Bf4 c4 Ke3 c5 Kd4 c6 Kc5 Kf2 Kd6 Ke2 Kc5 Kd3 Be5 Ke3 Bf4+ Kf2 Be5 Ke2 Bf4 Kd3 Be5 Kc2 Bf4 Kb3 Kb5 Kc3 Kc5 Kd3,B46,10,Sicilian Defense: Paulsen Variation,Sicilian Defense,,Paulsen Variation
2154,TRUE,92,Out of Time,Black,10+0,nitxcool,1796,avichal,1875,e4 c5 Nf3 d6 c3 Nf6 d3 Nc6 Bg5 Bg4 Be2 e6 h3 Bh5 Nbd2 Be7 Qb3 Qc7 g4 Bg6 Bxf6 Bxf6 h4 h5 g5 Be7 d4 cxd4 cxd4 Rc8 Rc1 Qb6 Qxb6 axb6 Bb5 O-O O-O Nb4 a3 Na6 e5 dxe5 Nxe5 Bf5 f4 f6 Nec4 fxg5 hxg5 Nc7 Nxb6 Nxb5 Nxc8 Bd8 Nf3 Bg4 Ne5 Nxd4 Rc4 Ne2+ Kg2 g6 Nd6 Kg7 Rf2 Bb6 Nxg4 Bxf2 Nxf2 Nxf4+ Kg3 Ne2+ Kg2 Nf4+ Kg1 Ne2+ Kf1 Ng3+ Ke1 h4 Rc7+ Kg8 Nde4 Nxe4 Nxe4 h3 Nf6+ Rxf6 gxf6 h2 Rg7+ Kh8,B50,5,Sicilian Defense: Delayed Alapin,Sicilian Defense,,Delayed Alapin
2155,TRUE,36,Resign,Black,10+0,avichal,1884,vovak,2004,e4 g6 d4 Bg7 c3 c5 e5 d6 f4 cxd4 cxd4 dxe5 fxe5 Nc6 Nf3 Bg4 Bb5 Bxf3 Qxf3 Rc8 Be3 e6 Nc3 Ne7 Ne4 Nf5 Bf2 Qd5 Rd1 Qxb5 g4 Qb4+ Rd2 Nfxd4 Qd3 Bxe5,B06,4,Robatsch (Modern) Defense,Robatsch (Modern) Defense,,
2156,TRUE,39,Resign,White,10+0,iceonboard,1863,avichal,1899,Nf3 d5 d4 Nf6 Bf4 c5 e3 Nc6 Bb5 Qa5+ Nc3 Ne4 Bxc6+ bxc6 dxc5 Nxc3 bxc3 Qxc3+ Nd2 Qxc5 O-O Bf5 c4 e6 Rc1 Qb6 cxd5 cxd5 Nb3 Be7 Nd4 Bg6 Qa4+ Kf8 Nc6 Rc8 Nxa7 Bc5 Nxc8,D02,5,Queen's Pawn Game: London System,Queen's Pawn Game,,London System
2157,FALSE,63,Out of Time,White,8+0,alwayscheckmated,1581,chessfailurenoob,1232,e4 e5 d4 exd4 Qxd4 Nc6 Qd3 Nf6 Nc3 Bc5 Be3 Qe7 Nd5 Nxd5 exd5 Nb4 Qc4 Bxe3 fxe3 Qxe3+ Be2 Nxc2+ Qxc2 O-O Rd1 Re8 Rd3 Qe4 Qxc7 Qxg2 Qf4 Qxh1 Rf3 Qxg1+ Kd2 f6 Rf1 Qg2 Rf2 Qg5 Bc4 d6 Kd3 Bf5+ Kc3 Rac8 Qxg5 fxg5 Rxf5 Re3+ Kd4 Ree8 Kd3 Rf8 Rxf8+ Rxf8 Ke4 g4 Be2 Re8+ Kd3 Rxe2 Kxe2,C22,6,Center Game: Normal Variation,Center Game,,Normal Variation
2158,FALSE,55,Out of Time,White,8+0,alwayscheckmated,1581,chessfailurenoob,1232,e4 e5 d4 Nf6 dxe5 Nxe4 Bd3 Nc5 Nf3 d5 Be2 Nbd7 Nc3 f6 Bf4 c6 O-O fxe5 Nxe5 Bd6 Nf7 Kxf7 Bxd6 Nf6 Bxc5 b6 Be3 Re8 Qd2 Bf5 Rae1 c5 Bg5 d4 Nb5 Ne4 Qf4 Qxg5 Qc7+ Kg8 Nd6 Rf8 f3 Nd2 Nxf5 Nxf1 Rxf1 Qxf5 Qd7 Qf7 Bd3 Qxd7 Be4 Qe8 Bd5+,C21,3,Center Game #2,Center Game,,#2
2159,FALSE,40,Out of Time,Black,8+0,chessfailurenoob,1232,alwayscheckmated,1581,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Bb5+ Bd7 Bxd7+ Qxd7 Bg5 Bg7 O-O O-O Qe2 Nc6 Qd2 Qg4 Bh6 Qh5 Bxg7 Kxg7 Nxc6 bxc6 Rfe1 Ng4 h3 Ne5 Qd4 f6 f4 Rab8 g4 Nf3+ Kf2 Nxd4,B70,10,Sicilian Defense: Dragon Variation,Sicilian Defense,,Dragon Variation
2160,FALSE,87,Mate,White,8+1,chessfailurenoob,1232,alwayscheckmated,1581,d4 d5 Nf3 Nc6 Nc3 Nf6 Bf4 e6 e3 Bd6 g3 O-O Bd3 Nh5 Qd2 Nxf4 gxf4 Nb4 Be2 a5 a3 Nc6 O-O-O Bd7 Nb5 Be7 e4 dxe4 Ne5 Nxe5 dxe5 c6 Nd6 Bh4 Qd4 g5 Qxe4 gxf4 Qxf4 Bg5 Rhg1 Kh8 Rxg5 Rg8 Rxg8+ Qxg8 Qf6+ Qg7 Nxf7+ Kg8 Nh6+ Kh8 Qxg7+ Kxg7 Rxd7+ Kxh6 Rd6 Re8 h4 c5 f4 Rf8 Rxe6+ Kg7 Bh5 Rxf4 Re7+ Kf8 Rf7+ Kg8 Rxf4 Kg7 e6 Kh6 e7 Kxh5 e8=Q+ Kh6 Rf3 Kg7 Rg3+ Kh6 Qe6+ Kh5 Qf5+ Kxh4 Qg4#,D02,4,Queen's Pawn Game: Chigorin Variation,Queen's Pawn Game,,Chigorin Variation
2161,TRUE,71,Out of Time,White,10+2,alwayscheckmated,1500,chessfailurenoob,1238,e4 c5 d4 cxd4 Qxd4 Nc6 Qd2 Nf6 Nc3 e5 Nf3 g6 Bc4 Qe7 O-O Bg7 Nd5 Qd8 Qg5 O-O Be3 a6 Bc5 Nxe4 Ne7+ Nxe7 Bxe7 Nxg5 Bxd8 Nxf3+ gxf3 Rxd8 Rae1 b5 Bd5 Rb8 c4 bxc4 Bxc4 Rxb2 Re4 Bb7 Re3 Rc8 Bb3 d5 f4 exf4 Re7 Bc6 Rfe1 Bd4 Kf1 Bb5+ Kg2 Rxf2+ Kh3 Bc5 Bxd5 h5 Bb7 Rd8 R7e2 Rd3+ Kh4 g5+ Kxg5 f6+ Kxf6 Rd6+ Ke5,B21,3,Sicilian Defense: Smith-Morra Gambit #2,Sicilian Defense,,Smith-Morra Gambit #2
2162,TRUE,64,Resign,White,5+8,void_pyromancer1808,1188,chessfailurenoob,1259,e4 c5 Nc3 d6 Nf3 Nc6 Be2 a6 O-O b5 Nd5 Nf6 c4 e6 cxb5 axb5 Bxb5 Bb7 Nxf6+ Qxf6 d3 Be7 Bxc6+ Bxc6 d4 O-O d5 exd5 exd5 Bb7 Bg5 Qxb2 Bxe7 Qxa1 Qxa1 Rfe8 Re1 Bxd5 Re3 Rxa2 Qe1 c4 Bxd6 Rxe3 Qxe3 Ra1+ Ne1 h6 Qe8+ Kh7 h3 Ra8 Qe5 Be6 Nf3 Rc8 Ng5+ Kg8 Nxe6 fxe6 Qxe6+ Kh8 Qxc8+ Kh7,B23,3,Sicilian Defense: Closed Variation,Sicilian Defense,,Closed Variation
2163,FALSE,60,Resign,Black,30+0,lightningviper,1515,pierk,1615,e4 c5 Nc3 d6 Bc4 Nf6 f4 Nc6 Nf3 e6 O-O a6 d3 b5 Bb3 Na5 Re1 Bb7 f5 Nxb3 axb3 Bc8 Ng5 h6 Nf3 Be7 Nxb5 exf5 exf5 Bxf5 Bf4 O-O Nxd6 Bxd6 Bxd6 Qxd6 d4 cxd4 Nxd4 Qb6 Kh1 Rfd8 c3 Kh8 Qf3 Bg6 Rad1 Re8 Nf5 Rxe1+ Rxe1 Bxf5 Qxa8+ Kh7 Re8 Nxe8 Qxe8 Qxb3 Qxf7 Qxf7,B23,3,Sicilian Defense: Closed Variation,Sicilian Defense,,Closed Variation
2164,FALSE,34,Resign,Black,30+0,pierk,1615,lightningviper,1515,d4 Nf6 Nf3 g6 Bf4 Bg7 h3 O-O e3 d6 c3 Nd5 Bh2 Nc6 Nbd2 Be6 Bd3 Qd7 O-O Nf6 e4 Nh5 d5 Bxh3 dxc6 Qg4 Bg3 Nxg3 fxg3 Qxg3 Qe2 Bh6 Qf2 Be3,A48,5,London System,London System,,
2165,TRUE,73,Resign,Black,10+5,awrankin,1277,lightningviper,1464,d4 Nf6 Nc3 g6 g3 Bg7 Bg2 O-O e4 d5 e5 Ng4 Nh3 Be6 O-O Nc6 Ng5 Bf5 Nxh7 Kxh7 Bxd5 e6 Bxc6 bxc6 h4 Rb8 Bg5 Qe8 f3 Nh6 Bxh6 Bxh6 g4 Be3+ Kg2 Rxb2 gxf5 exf5 Qe2 Bxd4 Nd1 Rxc2 Qxc2 Bxa1 Nf2 Qe6 Rxa1 Qxe5 Qxc6 Qxa1 Qxc7 Qxa2 Qe7 Rg8 Qg5 Rc8 Kg3 Rc2 Nd3 Rg2+ Kf4 Rxg5 Kxg5 Qg2+ Kf6 a5 Nf4 Qxf3 Kg5 Qg4+ Kf6 Qxh4+ Kxf7,A45,2,Indian Game,Indian Game,,
2166,TRUE,23,Resign,White,10+5,lightningviper,1371,awrankin,1284,e4 e5 Nf3 d6 Bc4 Bg4 h3 Bxf3 Qxf3 Qf6 Qg3 Nc6 d3 Nd4 O-O Nxc2 Bg5 Qh6 Bxh6 Nxh6 Nc3 Nxa1 Rxa1,C41,5,Philidor Defense #3,Philidor Defense,,#3
2167,FALSE,20,Mate,Black,20+0,neil69,1500,lightningviper,1371,e4 c5 d4 cxd4 Qxd4 Nc6 Qd1 Nf6 f3 e5 Bc4 Nxe4 Bxf7+ Kxf7 fxe4 Qh4+ Kf1 Bc5 Nf3 Qf2#,B21,3,Sicilian Defense: Smith-Morra Gambit #2,Sicilian Defense,,Smith-Morra Gambit #2
2168,TRUE,64,Resign,Black,10+0,ninjapanda,1372,herk,1440,e4 c5 Nc3 d6 Bc4 Nf6 d3 Nc6 Be3 e6 d4 cxd4 Bxd4 Be7 Qd3 e5 Be3 a6 O-O-O Qc7 Nd5 Nxd5 exd5 Nb4 Qb3 a5 a3 Na6 Kb1 Nc5 Bxc5 Qxc5 Bb5+ Kf8 Bc4 Qxf2 Qf3 Qc5 Qf1 Ke8 Bb5+ Kf8 Nh3 f6 Re1 Qxd5 g3 Be6 b3 Rc8 Rd1 Qc5 c4 Qxa3 Kc2 Bf5+ Kc3 Qb4+ Kb2 Be6 Qe1 Bxh3 Qxb4 axb4,B23,3,Sicilian Defense: Closed Variation,Sicilian Defense,,Closed Variation
2169,FALSE,63,Resign,White,45+45,lcpchess,2131,goldenfox99,1431,d4 d5 Nc3 c5 e3 Nc6 Nf3 Nf6 Bb5 e6 O-O Bd6 Re1 O-O a3 Bd7 dxc5 Bxc5 b4 Bd6 Bb2 Re8 Bd3 Qc7 Nb5 Qb8 c4 Be7 Qc2 h6 Rad1 a6 Nbd4 dxc4 Bxc4 Qc7 Nxc6 Bxc6 Be5 Qb6 Nd4 Rad8 e4 Ng4 Nxc6 Qxc6 Bb2 Rc8 Rc1 Red8 Qe2 Nf6 e5 Nd7 Red1 Bg5 Rc3 Bf4 Bd3 Qb6 Qe4 Nf8 Qxf4,D00,4,Queen's Pawn Opening: Veresov Attack |  Irish Gambit,Queen's Pawn Opening,,Veresov Attack
2170,TRUE,54,Resign,White,15+15,goldenfox99,1426,amazing_r_j,1447,e4 e5 Nf3 Nc6 Bc4 Bc5 O-O d6 c3 Bg4 d4 exd4 cxd4 Bxd4 Bxf7+ Kxf7 Ng5+ Ke7 Qxg4 Qd7 Qh4 Nf6 Nf3 Qg4 Qxg4 Nxg4 Nxd4 Nxd4 Bg5+ Kd7 f3 Ne5 Nc3 h6 Bf4 g5 Bg3 Raf8 Rad1 c5 Bf2 g4 Bxd4 Nxf3+ gxf3 gxf3 Bxh8 Rg8+ Kh1 Rf8 Be5 Ke6 Bxd6 Rf6,C44,12,Scotch Game: Scotch Gambit |  Cochrane-Anderssen Variation,Scotch Game,,Scotch Gambit
2171,TRUE,50,Mate,Black,15+15,ctetxam,1485,goldenfox99,1403,e4 c5 Nf3 d6 Bb5+ Bd7 Bxd7+ Qxd7 h3 Nc6 O-O Nf6 d4 cxd4 Nxd4 Nxe4 Re1 Nf6 Nxc6 bxc6 Qf3 e5 Bf4 Rb8 b3 Be7 Bg5 h6 Bxf6 Bxf6 Nc3 O-O Rad1 d5 Ne4 Qe6 Nc5 Qe7 Qf5 Qxc5 Qd7 Bh4 Qf5 Rfe8 g3 Bxg3 Qg4 Qxf2+ Kh1 Qh2#,B52,6,Sicilian Defense: Canal Attack |  Main Line,Sicilian Defense,,Canal Attack
2172,TRUE,44,Mate,Black,20+0,eltondigiplayer,1401,goldenfox99,1382,e4 c5 Bc4 d6 Qf3 Nf6 d3 Nc6 c3 g6 h3 Bg7 Bg5 h6 Bxf6 Bxf6 g4 O-O Nd2 Bg7 O-O-O Na5 Ne2 Nxc4 Nxc4 b5 Na3 b4 Nc2 b3 axb3 Qb6 e5 Bxe5 Qxa8 Qxb3 Qxa7 Bb7 Rhf1 Ra8 Na1 Qb5 c4 Qxb2#,B20,3,Sicilian Defense: Bowdler Attack,Sicilian Defense,,Bowdler Attack
2173,TRUE,37,Resign,Black,20+0,goldenfox99,1392,binoxmen,1608,c4 e5 Nc3 Nf6 g3 Bc5 Bg2 a6 a3 Nc6 Nf3 h6 O-O O-O d3 d6 b4 Bd4 Bb2 Bf5 h3 Qd7 Kh2 Rad8 Nh4 Bh7 e3 Ba7 Nd5 Nxd5 Bxd5 b6 Qf3 Ne7 Bb7 Bxd3 Rfc1,A22,5,English Opening: Carls-Bremen System,English Opening,,Carls-Bremen System
2174,TRUE,21,Resign,White,20+0,binoxmen,1603,goldenfox99,1402,e4 e5 Nf3 Nc6 Bc4 Bc5 Nc3 Nf6 d3 O-O Bg5 Be7 a3 d6 h3 Nd7 Bxe7 Qxe7 Nd5 Qe8 Nxc7,C50,9,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,Italian Game,,Giuoco Pianissimo
